fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2022-06-30,EUR,2361000000,5873000000,3512000000,3512000000,564000000,728000000,1091000000,1797000000,None,-18000000,24000000,18000000,None,None,None,86065,541000000,74000000,None,467000000,None,845913935,846000000,457000000,NOK
2022-03-31,EUR,2169000000,5348000000,3179000000,3179000000,354000000,675000000,1072000000,1815000000,None,-72000000,98000000,72000000,None,None,None,60459,256000000,79000000,None,177000000,None,627939541,628000000,212000000,NOK
2021-12-31,EUR,2534000000,6414000000,3880000000,3880000000,740000000,758000000,1118000000,1794000000,None,-68000000,47000000,8000000,None,None,None,71391,693000000,11000000,None,682000000,None,1016928609,1017000000,676000000,NOK
2021-09-30,EUR,2196000000,5399000000,3203000000,3203000000,502000000,674000000,1036000000,1694000000,None,-50000000,57000000,50000000,None,None,None,54000,446000000,95000000,None,350000000,None,775946000,776000000,342000000,NOK
2021-06-30,EUR,2180000000,5313000000,3133000000,3133000000,484000000,712000000,1063000000,1695000000,None,-68000000,68000000,68000000,None,None,None,55806,416000000,66000000,None,350000000,None,756944194,757000000,344000000,NOK
2021-03-31,EUR,1925000000,5076000000,3151000000,3151000000,431000000,649000000,996000000,1494000000,None,-56000000,60000000,56000000,None,None,None,55213,372000000,99000000,None,272000000,None,701944787,702000000,261000000,NOK
2020-12-31,EUR,2573000000,6568000000,3995000000,3995000000,475000000,777000000,1145000000,2099000000,None,29000000,49000000,18000000,None,None,None,55131,523000000,3131000000,None,-2608000000,None,753944869,754000000,-2601000000,NOK
2020-09-30,EUR,1977000000,5294000000,3317000000,3317000000,350000000,644000000,895000000,1626000000,None,-73000000,73000000,73000000,None,None,None,52750,276000000,74000000,None,203000000,None,628947250,629000000,193000000,NOK
2020-06-30,EUR,2006000000,5092000000,3086000000,3086000000,170000000,643000000,969000000,1836000000,None,-11000000,5000000,11000000,None,None,None,51116,165000000,80000000,None,85000000,None,459948884,460000000,94000000,NOK
2020-03-31,EUR,1778000000,4913000000,3135000000,3135000000,-76000000,762000000,987000000,1855000000,None,-50000000,54000000,50000000,None,None,None,47300,-130000000,-30000000,None,-100000000,None,207952700,208000000,-117000000,NOK
