fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2021-06-30,USD,129864000,654686000,524822000,66726000,-128121000,133842000,None,257985000,-1353000,-7141000,7141000,7141000,250688000,None,None,5358000,169466000,41304000,7141000,128162000,155489000,176607000,181965000,128162000,PRI
2021-03-31,USD,65073000,637711000,572638000,72963000,-204351000,133547000,None,269424000,-1284000,-7145000,7145000,7145000,234044000,None,None,5408000,128309000,30437000,7145000,97872000,51789000,135454000,140862000,97872000,PRI
2020-12-31,USD,91037000,598328000,507291000,-1374017000,-123614000,86850000,None,214651000,-1265000,-7225000,7225000,7225000,1530464000,None,None,5211000,131640000,31556000,7225000,100084000,138852000,138865000,144076000,100084000,PRI
2020-09-30,USD,106469000,568461000,461992000,59347000,-102850000,94169000,None,209319000,-1577000,-7221000,7221000,7221000,185243000,None,None,4667000,146483000,34382000,7221000,112101000,130445000,153704000,158371000,112101000,PRI
2020-06-30,USD,105497000,525815000,420318000,56152000,-88590000,87849000,None,194087000,-2301000,-7200000,7200000,7200000,171597000,None,None,3879000,134062000,32552000,7200000,101510000,210198000,141262000,145141000,101510000,PRI
2020-03-31,USD,73291000,524936000,451645000,65914000,-159884000,107768000,None,233175000,-2298000,-7192000,7192000,7192000,190069000,None,None,3940000,94546000,22077000,7192000,72469000,-22423000,101738000,105678000,72469000,PRI
2019-12-31,USD,531960000,531960000,407044000,-1283398000,531960000,79182000,None,197489000,-2280000,-7222000,7222000,7222000,1372439000,None,None,5015000,122145000,28588000,7222000,93557000,98244000,129367000,134382000,93557000,PRI
2019-09-30,USD,108201000,520653000,412452000,54843000,-89677000,91131000,None,197878000,-2217000,-7209000,7209000,7209000,179719000,None,None,4795000,125139000,28916000,7209000,96223000,102364000,132348000,137143000,96223000,PRI
2019-06-30,USD,123802000,504902000,381100000,55913000,-74712000,92202000,None,198514000,-2225000,-7201000,7201000,7201000,178468000,None,None,4334000,127460000,30014000,7201000,97446000,131396000,134661000,138995000,97446000,PRI
2019-03-31,USD,86953000,494987000,408034000,65707000,-126613000,94682000,None,213566000,-2134000,-7180000,7180000,7180000,-254000,None,None,4156000,102368000,23203000,7180000,79165000,121618000,109548000,113704000,79165000,PRI
2018-12-31,USD,487325000,487325000,381095000,-1182912000,487325000,77944000,None,185106000,-2185000,-7192000,None,7192000,1085940000,None,None,3295000,107922000,21381000,7192000,86541000,86541000,115114000,118409000,86541000,PRI
2018-09-30,USD,101100000,484781000,383681000,54712000,-88694000,86573000,None,189794000,-2151000,-7216000,None,7216000,1000,None,None,3128000,111435000,26296000,7216000,85139000,84276000,118651000,121779000,85139000,PRI
2018-06-30,USD,118985000,467815000,348830000,55083000,-70811000,84845000,None,189796000,-2105000,-7229000,None,7229000,-49000,None,None,2950000,113765000,27065000,7229000,86700000,68252000,120994000,123944000,86700000,PRI
2018-03-31,USD,68913000,459923000,391010000,63227000,-138365000,94021000,None,207278000,-1674000,-7173000,None,7173000,166827000,None,None,3044000,82963000,17248000,7173000,65715000,31571000,90136000,93180000,65715000,PRI
2017-12-31,USD,442942000,442942000,346881000,-1056860000,442942000,70832000,None,160383000,-1498000,-7144000,None,7144000,154105000,None,None,3228000,108089000,-60354000,7144000,168443000,168443000,115233000,118461000,168443000,PRI
2017-09-30,USD,88342000,427300000,338958000,45527000,-74261000,73846000,None,162603000,-1417000,-7073000,None,7073000,144627000,None,None,3329000,100200000,33565000,7073000,66635000,73747000,107273000,110602000,66635000,PRI
2017-06-30,USD,89448000,413696000,324248000,45274000,-75266000,77363000,None,164714000,-1305000,-7143000,None,7143000,148317000,None,None,3585000,96389000,33282000,7143000,63107000,72137000,103532000,107117000,63107000,PRI
2017-03-31,USD,61688000,405164000,343476000,52736000,-120424000,83447000,None,182112000,-1241000,-7127000,None,7127000,144268000,None,None,3409000,74842000,22772000,7127000,52070000,57870000,81969000,85378000,52070000,PRI
2016-12-31,USD,393864000,393864000,318337000,-944217000,393864000,71972000,None,158027000,-1242000,-7157000,None,7157000,141681000,None,None,3716000,87064000,30191000,7157000,56873000,56873000,94221000,97937000,56873000,PRI
2016-09-30,USD,83731000,383626000,299895000,45309000,-67547000,68423000,None,151278000,-1208000,-7184000,None,7184000,134282000,None,None,3771000,88437000,30400000,7184000,58037000,58257000,95621000,99392000,58037000,PRI
2016-06-30,USD,-156689000,378994000,289382000,44838000,-311719000,72694000,None,155030000,-1226000,-7178000,None,7178000,136902000,None,None,3969000,91880000,32554000,7178000,59326000,77896000,99058000,103027000,59326000,PRI
2016-03-31,USD,-177314000,362600000,302348000,47370000,-339407000,74126000,None,162093000,-1210000,-7173000,None,7173000,128821000,None,None,3139000,70212000,25036000,7173000,6653000,77686000,77385000,80524000,45176000,PRI
2015-12-31,USD,354129000,353451000,300876000,-882300000,354129000,82356000,None,-431890000,147955000,-7471000,None,7471000,132794000,None,None,2797000,72394000,24445000,7471000,47949000,47949000,79865000,82662000,47949000,PRI
2015-09-30,USD,11340000,355709000,287453000,40475000,-133473000,69458000,None,144813000,-1210000,-8718000,None,8718000,132368000,None,None,2828000,74953000,25603000,8718000,49350000,21734000,83671000,86499000,49350000,PRI
2015-06-30,USD,-73409000,350387000,274842000,41757000,-221821000,73416000,None,148412000,-1247000,-8642000,None,8642000,139150000,None,None,2740000,76825000,27652000,8642000,49173000,30635000,85467000,88207000,49173000,PRI
2015-03-31,USD,-260913000,344655000,278613000,44653000,-420797000,77400000,None,159884000,-1212000,-8676000,None,8676000,132835000,None,None,2633000,66809000,23408000,8676000,43401000,32159000,75485000,78118000,43401000,PRI
2014-12-31,USD,345385000,345063000,292483000,-820282000,345385000,84383000,None,-414423000,319813000,-8700000,None,8700000,135267000,None,None,3655000,69129000,23664000,8700000,45466000,45466000,77829000,81484000,45465000,PRI
2014-09-30,USD,63776000,338841000,275411000,45236000,-92997000,75997000,None,156773000,-2527000,-8712000,None,8712000,132928000,None,None,2894000,64002000,22407000,8712000,41613000,17093000,72714000,75608000,41595000,PRI
2014-06-30,USD,118721000,330726000,212409000,42293000,-277789000,67364000,None,149672000,-1200000,-8552000,None,8552000,298233000,None,None,2833000,75740000,26469000,8552000,49271000,120027000,84292000,87125000,49271000,PRI
2014-03-31,USD,108676000,323997000,215652000,40800000,-287212000,65121000,None,145403000,-1212000,-8606000,None,8606000,294018000,None,None,2884000,68427000,23347000,8606000,43485000,93121000,77033000,79917000,45080000,PRI
2013-12-31,USD,327240000,318222000,212456000,-753001000,57865000,61163000,None,-400858000,-1210000,-78706000,-86848000,-8142000,293161000,None,None,2621000,56678000,19477000,8704000,37201000,37201000,48536000,68291000,37201000,PRI
2013-09-30,USD,96898000,310409000,222559000,41273000,-286425000,58388000,None,139146000,-1167000,14544000,23270000,8726000,287050000,-407000,None,2843000,65230000,22040000,8726000,43190000,46632000,73956000,78123000,43190000,PRI
2013-06-30,USD,115128000,303490000,197179000,45030000,-265920000,57638000,None,144980000,-1252000,13486000,22279000,8793000,276615000,3468000,None,2915000,67272000,23782000,8793000,43490000,-2132000,76065000,79154000,43490000,PRI
2013-03-31,USD,104834000,298450000,203611000,45754000,-277370000,55048000,None,142786000,-1237000,15658000,24453000,8795000,272283000,2286000,None,2424000,59850000,21005000,8795000,38845000,32012000,68645000,71451000,38845000,PRI
2012-12-31,USD,304501000,304501000,199847000,-721498000,60946000,54007000,None,-292944000,24221000,-8857000,-15835000,-6978000,267580000,11382000,None,2540000,60946000,20675000,8857000,40271000,32975000,53968000,72343000,40271000,PRI
2012-09-30,USD,108080000,299088000,191008000,39934000,-216602000,49370000,None,104978000,26881000,-8828000,None,8828000,256619000,None,None,2644000,70556000,24957000,8828000,45599000,66691000,79384000,82028000,45599000,PRI
2012-06-30,USD,111073000,300525000,189452000,40446000,-216037000,51475000,None,107012000,23605000,-8506000,None,8506000,261019000,None,None,28205000,71921000,25741000,8506000,46180000,41592000,80427000,82847000,46180000,PRI
2012-03-31,USD,100804000,286601000,185797000,41105000,-221864000,49717000,None,106442000,-1403000,-6910000,None,6910000,246779000,None,None,26531000,63465000,21709000,6910000,63465000,55293000,70375000,72866000,41756000,PRI
2011-12-31,USD,275855000,275855000,171893000,-661713000,56681000,43816000,None,97368000,25643000,-6973000,None,6973000,233430000,None,None,2875000,56681000,19479000,6973000,62687000,39991000,63654000,72535000,37202000,PRI
2011-09-30,USD,99637000,275791000,176154000,42962000,-208126000,46971000,None,102823000,27103000,-7000000,None,7000000,235979000,None,None,2591000,55507000,20409000,7000000,63851000,17062000,62507000,73442000,35098000,PRI
2011-06-30,USD,110322000,275095000,164773000,41743000,-192803000,50163000,None,103189000,27229000,-6998000,None,6998000,234015000,None,None,2608000,58465000,20845000,6998000,68161000,47766000,65463000,77767000,37620000,PRI
2011-03-31,USD,236241000,276352000,40111000,40111000,88142000,57635000,None,-148099000,None,None,None,6997000,None,None,None,2657000,73256000,25985000,None,73256000,48097000,80253000,90799000,47271000,PRI
2010-12-31,USD,1181085000,279387000,-901698000,-901698000,1043244000,313282000,None,137840000,None,None,None,6976000,None,None,None,2652000,42849000,15282000,None,80523000,9523000,49825000,90151000,27567000,PRI
2010-09-30,USD,201864000,241236000,39372000,39372000,68847000,49811000,None,-133017000,None,None,None,6968000,None,None,None,2597000,61879000,22284000,None,61879000,67499000,68847000,71444000,39595000,PRI
2010-06-30,USD,169116000,234299000,65183000,65183000,43266000,55207000,None,-125850000,None,None,None,6928000,None,None,None,2382000,36338000,14330000,None,36338000,29998000,43266000,45648000,22008000,PRI
