fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2022-06-30,USD,119571000,289729000,170158000,170158000,27617000,44017000,24565000,91954000,19000,-2453000,19000,2453000,None,-2654000,None,14454000,22529000,5614000,2453000,16915000,22434000,24982000,39436000,16915000,MRCY
2022-03-31,USD,99754000,253075000,153321000,153321000,9955000,39261000,25387000,89799000,110000,-1664000,110000,1664000,None,-2160000,None,16077000,6241000,2102000,1664000,4139000,4419000,7905000,23982000,4139000,MRCY
2021-12-31,USD,87222000,220380000,133158000,133158000,-387000,36810000,28335000,87609000,5000,-1094000,5000,1094000,None,-1318000,None,16002000,-2794000,-155000,1094000,-2639000,-2860000,-1700000,14302000,-2639000,MRCY
2021-09-30,USD,88409000,225013000,136604000,136604000,-5575000,36956000,28882000,93984000,9000,-595000,9000,595000,None,-1420000,None,13734000,-7581000,-441000,595000,-7140000,-6848000,-6986000,6748000,-7140000,MRCY
2021-06-30,USD,102779000,250842000,148063000,148063000,22406000,31587000,27718000,80373000,13000,-600000,13000,600000,None,-758000,None,13080000,21061000,3136000,600000,17925000,20920000,21661000,34741000,17925000,MRCY
2021-03-31,USD,105623000,256857000,151234000,151234000,21712000,38250000,30218000,83911000,34000,-549000,34000,549000,None,-200000,None,12717000,20997000,5362000,549000,15635000,15883000,21546000,34263000,15635000,MRCY
2020-12-31,USD,88667000,210676000,122009000,122009000,18113000,31596000,28128000,70554000,60000,-73000,60000,73000,None,-981000,None,7643000,17119000,4433000,73000,12686000,12059000,17192000,24835000,12686000,MRCY
2020-09-30,USD,88119000,205621000,117502000,117502000,18770000,32904000,27417000,69349000,72000,0,72000,0,None,-846000,None,7731000,17996000,2198000,0,15798000,15728000,17996000,25727000,15798000,MRCY
2020-06-30,USD,96613000,217377000,120764000,120764000,26419000,35488000,26988000,70194000,194000,-948000,194000,948000,None,1325000,None,7701000,26990000,-234000,948000,27224000,25381000,27938000,35639000,27224000,MRCY
2020-03-31,USD,93325000,208016000,114691000,114691000,26342000,33991000,24967000,66983000,458000,-58000,458000,58000,None,2186000,None,7848000,28928000,5363000,58000,23565000,23916000,28986000,36834000,23565000,MRCY
2019-12-31,USD,88506000,193913000,105407000,105407000,20825000,32804000,24660000,67681000,312000,0,312000,0,None,-351000,None,7992000,20786000,5110000,0,15676000,15492000,20786000,28778000,15676000,MRCY
2019-09-30,USD,78400000,177304000,98904000,98904000,17476000,29970000,21870000,60924000,1187000,0,1187000,0,None,-1434000,None,7019000,17229000,-2018000,0,19247000,19329000,17229000,24248000,19247000,MRCY
2019-06-30,USD,79839000,176963000,97124000,97124000,20851000,30746000,20346000,58988000,590000,-2181000,590000,2181000,None,-6673000,None,7008000,12587000,-217000,2181000,12804000,12781000,14768000,21776000,12804000,MRCY
2019-03-31,USD,73847000,174636000,100789000,100789000,22062000,27411000,17439000,51785000,205000,-2473000,2268000,2473000,None,-328000,None,6786000,19466000,5357000,2473000,14109000,11737000,21939000,28725000,14109000,MRCY
2018-12-31,USD,70887000,159089000,88202000,88202000,19861000,27819000,16192000,51026000,71000,-2196000,None,2196000,None,-870000,None,6939000,16866000,4483000,2196000,12383000,12573000,19062000,26001000,12383000,MRCY
2018-09-30,USD,61583000,144056000,82473000,82473000,13810000,24741000,14948000,47773000,66000,-2259000,None,2259000,None,-1009000,None,7181000,10608000,3129000,2259000,7479000,7102000,12867000,20048000,7479000,MRCY
2018-06-30,USD,79839000,176963000,84609000,84609000,20851000,25437000,14857000,49370000,18000,-1749000,None,1749000,None,-529000,None,7436000,12587000,-217000,1749000,10101000,10786000,14336000,21772000,12804000,MRCY
2018-03-31,USD,73847000,174636000,63570000,63570000,22062000,21138000,15021000,45928000,-8000,-999000,None,999000,None,66000,None,7104000,19466000,5357000,999000,3696000,3244000,20465000,27569000,14109000,MRCY
2017-12-31,USD,70887000,159089000,63752000,63752000,19861000,21222000,15187000,43272000,3000,-107000,None,107000,None,-316000,None,5827000,16866000,4483000,107000,9133000,9165000,16973000,22800000,12383000,MRCY
2017-09-30,USD,61583000,144056000,55395000,55395000,13810000,20568000,13742000,40303000,19000,-3000,None,3000,None,-815000,None,5637000,10608000,3129000,3000,17953000,17905000,10611000,16248000,7479000,MRCY
2017-06-30,USD,68258000,152867000,61681000,61681000,18888000,20398000,13894000,40919000,275000,-1955000,None,1955000,None,-21000,None,5458000,16628000,6527000,1955000,8804000,9131000,18583000,24041000,10101000,MRCY
2017-03-31,USD,52766000,116336000,56534000,56534000,6838000,19229000,14198000,39088000,137000,-1893000,None,1893000,None,279000,None,4732000,5905000,2209000,1893000,7048000,7181000,7798000,12530000,3696000,MRCY
2016-12-31,USD,54160000,117912000,50625000,50625000,10888000,19320000,13156000,38431000,10000,-1898000,None,1898000,None,-87000,None,4888000,10468000,1335000,1898000,5204000,4863000,12366000,17254000,9133000,MRCY
2016-09-30,USD,50674000,106069000,48205000,48205000,10371000,17544000,12838000,35702000,40000,-1822000,None,1822000,None,600000,None,4602000,9572000,-8381000,1822000,3819000,3827000,11394000,15996000,17953000,MRCY
2016-06-30,USD,38176000,85430000,47254000,47254000,7654000,15556000,10497000,30522000,42000,-1251000,-89000,1162000,None,2056000,2127000,3737000,8590000,1101000,1162000,7489000,7578000,9752000,13489000,7489000,MRCY
2016-03-31,USD,31402000,65898000,34496000,35407000,6819000,12687000,8180000,24583000,39000,36000,39000,3000,None,144000,1565000,1754000,6999000,2642000,3000,4357000,4450000,7002000,8756000,4357000,MRCY
2015-12-31,USD,29739000,60417000,30678000,31839000,6369000,12583000,8845000,23370000,26000,21000,26000,5000,None,83000,1620000,1638000,6473000,1433000,5000,5040000,5012000,6478000,8116000,5040000,MRCY
2015-09-30,USD,28302000,58409000,30107000,30880000,3131000,12126000,8866000,25171000,24000,22000,24000,2000,None,71000,1588000,1713000,3224000,368000,2000,2856000,2873000,3226000,4939000,2856000,MRCY
2015-06-30,USD,31267000,64119000,28871000,32852000,7931000,12201000,12574000,27317000,8000,-3000,8000,11000,None,54000,1532000,1740000,7780000,1850000,11000,6132000,5903000,7791000,9531000,5930000,MRCY
2015-03-31,USD,27918000,59578000,31660000,31660000,6157000,11842000,8115000,21761000,6000,-1000,6000,7000,None,7000,1510000,1744000,5144000,1469000,7000,4694000,3675000,5151000,6895000,3675000,MRCY
2014-12-31,USD,27035000,57089000,30054000,30054000,3539000,12677000,7895000,23496000,4000,-4000,4000,8000,None,398000,1590000,1762000,1312000,1047000,8000,2886000,154000,1320000,3082000,265000,MRCY
2014-09-30,USD,23999000,54061000,30062000,30062000,728000,12290000,7951000,23271000,3000,-5000,3000,8000,None,-6000,1700000,1762000,499000,0,8000,717000,402000,507000,2269000,499000,MRCY
