fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2015-09-30,USD,347377000,475360000,127983000,116822000,314703000,10503000,None,325015000,None,-43234000,None,43234000,558596000,None,120184000,None,206181000,39000,24247000,206076000,207484000,314703000,None,206142000,AVB
2015-06-30,USD,332689000,457459000,124770000,113142000,310990000,11628000,None,307344000,None,-44590000,None,44590000,462266000,None,118627000,None,173617000,1293000,36841000,172253000,173751000,310990000,None,172324000,AVB
2015-03-31,USD,306497000,442367000,135870000,113696000,295627000,10598000,None,339823000,None,-45573000,None,45573000,472268000,None,116853000,None,208159000,15000,45573000,208053000,209709000,295627000,None,208144000,AVB
2014-12-31,USD,440656000,440656000,107655000,107150000,269050000,10680000,None,318469000,None,-47987000,None,47987000,438347000,None,114084000,None,None,None,47987000,142530000,144197000,269050000,None,142638000,AVB
2014-09-30,USD,312944000,430525000,117581000,106291000,290425000,11290000,None,320116000,None,-46376000,None,46376000,755561000,None,111836000,None,None,None,46376000,241001000,242646000,290425000,None,241100000,AVB
2014-06-30,USD,301390000,413806000,112416000,102196000,277548000,10220000,None,310264000,None,-43722000,None,43722000,416404000,None,110395000,None,None,None,44134000,172197000,159524000,277548000,None,158086000,AVB
2014-03-31,USD,245315000,400075000,154760000,144006000,263874000,9236000,None,301878000,None,-42533000,None,42533000,396998000,None,106367000,1518000,None,None,42533000,103420000,143312000,263874000,265392000,141739000,AVB
2013-12-31,USD,394169000,394169000,189098000,136735000,244711000,8311000,None,311050000,None,-44630000,None,44630000,10569000,None,104805000,None,None,None,59551000,88209000,253675000,244711000,None,252212000,AVB
2013-09-30,USD,241878000,389189000,151249000,141371000,258436000,9878000,None,408397000,None,-43945000,None,43945000,5395000,None,159873000,None,None,None,43945000,-14106000,44233000,258436000,None,-10719000,AVB
2013-06-30,USD,48593000,378207000,340641000,329296000,258971000,11345000,None,377173000,None,-16824000,26345000,43169000,11456000,None,189977000,None,None,None,16824000,2052000,37792000,258971000,None,36221000,AVB
2013-03-31,USD,44255000,301356000,267876000,217778000,207683000,10039000,None,297561000,None,-13139000,25035000,38174000,54051000,None,105559000,1934000,None,None,13139000,-11468000,76818000,207683000,209617000,75427000,AVB
2012-12-31,USD,271303000,261574000,185099000,167803000,158743000,7703000,None,202270000,None,-12107000,24009000,36116000,48738000,None,59992000,None,None,None,12107000,68237000,125137000,158743000,None,122357000,AVB
2012-09-30,USD,100985000,257568000,170919000,162547000,177353000,8372000,None,198661000,None,-12504000,21481000,33985000,44723000,None,62750000,None,None,None,12504000,86747000,79867000,177353000,None,86845000,AVB
2012-06-30,USD,91460000,244697000,167345000,159029000,171282000,8316000,None,196911000,None,-12625000,None,12625000,4105000,None,64875000,None,None,None,12625000,60620000,129111000,171282000,None,156963000,AVB
2012-03-31,USD,89318000,236788000,163136000,153426000,167306000,9710000,None,194533000,None,-12320000,None,12320000,7730000,None,62991000,None,None,None,13499000,56688000,68766000,167306000,None,57704000,AVB
2011-12-31,USD,251439000,243089000,174091000,166244000,995985000,7847000,None,165555000,None,-10901000,133951000,144852000,7861000,None,41657000,None,None,None,-21022000,51810000,316931000,995985000,None,321913000,AVB
2011-09-30,USD,74124000,239568000,176953000,156814000,-146799000,6087000,None,215700000,None,-8946000,None,8946000,26161000,None,62262000,None,None,None,8946000,45709000,-15446000,-146799000,None,44824000,AVB
2011-06-30,USD,81068000,231218000,163791000,155646000,-128578000,8145000,None,200742000,None,-7673000,None,7673000,None,None,62894000,None,None,None,7673000,36609000,24037000,-128578000,None,43372000,AVB
2011-03-31,USD,74305000,222495000,161503000,154211000,-131469000,7292000,None,197820000,None,-6343000,None,6343000,None,None,61299000,None,None,None,6343000,31814000,30257000,-131469000,None,30341000,AVB
2010-12-31,USD,231891000,226552000,-427655000,-380834000,734223000,-46821000,None,173410000,None,None,None,None,None,None,-404527000,None,None,None,None,26202000,27367000,734223000,None,27955000,AVB
2010-09-30,USD,138514000,222224000,89069000,82030000,-64665000,7039000,None,199021000,None,None,None,None,None,None,58628000,None,None,None,None,25581000,24340000,-64665000,None,24654000,AVB
2010-06-30,USD,135773000,215029000,84695000,80654000,-56265000,4041000,None,191703000,None,None,None,None,None,None,57479000,None,None,None,None,30313000,50448000,-56265000,None,51125000,AVB
2010-03-31,USD,127425000,210196000,88162000,79267000,-68309000,8895000,None,195476000,None,None,None,None,None,None,56095000,None,None,None,None,21678000,73065000,-68309000,None,72523000,AVB
2009-12-31,USD,214292000,214292000,81187000,69977000,214292000,10360000,None,196565000,None,None,None,None,None,None,49811000,None,None,None,None,-7314000,32941000,214292000,None,32394000,AVB
2009-09-30,USD,139631000,215043000,82420000,76670000,-52552000,5750000,None,187728000,None,None,None,None,None,None,54960000,None,None,None,None,30299000,58675000,-52552000,None,58154000,AVB
2009-06-30,USD,121984000,212149000,100160000,74468000,-83929000,5390000,None,199692000,None,None,None,None,None,None,53737000,None,None,None,None,16723000,18095000,-83929000,None,17674000,AVB
2009-03-31,USD,None,209623000,None,None,None,None,None,170054000,None,None,None,None,None,None,None,None,None,None,None,None,47801000,None,None,47425000,AVB
2008-12-31,USD,None,189079000,None,None,None,None,None,225105000,None,None,None,None,None,None,None,None,None,None,None,None,-2416000,None,None,2123000,AVB
2008-09-30,USD,None,215390000,None,None,None,None,None,169886000,None,None,None,None,None,None,None,None,None,None,None,None,231912000,None,None,233581000,AVB
2008-06-30,USD,None,211191000,None,None,None,None,None,166792000,None,None,None,None,None,None,None,None,None,None,None,None,125933000,None,None,127334000,AVB
