fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2022-04-30,USD,11912000,194228000,182316000,182316000,6709000,5203000,None,5208000,None,174000,174000,321000,11771000,2125000,None,5889000,7030000,1848000,None,5182000,6986000,6709000,12598000,5182000,REX
2022-01-31,USD,38777000,212016000,173239000,173239000,38777000,6032000,None,7433000,None,13000,13000,13000,-2531000,3874000,None,1432000,32128000,10702000,None,21267000,64694000,38777000,40209000,21426000,REX
2021-10-31,USD,25152000,203066000,177914000,177914000,18842000,6310000,None,6310000,None,35000,35000,None,5474000,384000,None,4448000,19616000,4338000,None,13326000,16703000,18842000,23290000,15278000,REX
2021-07-31,USD,14154000,195678000,181524000,181524000,4492000,6231000,None,6582000,None,39000,39000,None,397663000,1883000,None,6547000,9643000,1767000,None,5710000,7876000,4492000,4492000,7876000,REX
2021-04-30,USD,19477000,164042000,144565000,144565000,7814000,9903000,None,9988000,None,43000,43000,None,326252000,613000,None,6638000,10008000,2224000,None,7269000,7784000,7814000,14452000,7784000,REX
2021-01-31,USD,6843000,126018000,119175000,117696000,6843000,4232000,None,25267000,None,415000,415000,None,-491795000,747000,None,16924000,3397000,-146000,None,3344000,5022000,6843000,23767000,3543000,REX
2020-10-31,USD,18929000,124217000,105288000,105288000,13422000,4269000,None,4257000,None,537000,1152000,None,248442000,1689000,None,6497000,13878000,5037000,None,9036000,8841000,13422000,19919000,8841000,REX
2020-07-31,USD,-1331000,39327000,40658000,40658000,-5769000,4438000,None,4438000,None,197000,507000,None,73956000,-310000,None,6520000,-5794000,-4046000,None,-10125000,-1748000,-5769000,751000,-1748000,REX
2020-04-30,USD,-9330000,83250000,92580000,92580000,-13935000,4605000,None,4605000,None,669000,669000,None,169629000,192000,None,6662000,-12948000,-5313000,None,-19056000,-7635000,-13935000,-7273000,-7635000,REX
2020-01-31,USD,6593000,120920000,114327000,106076000,6593000,5903000,None,5629000,None,739000,739000,None,240316000,3000000,None,6981000,11818000,7416000,None,21866000,6249000,6593000,7945000,4402000,REX
2019-10-31,USD,-1758000,86671000,88429000,88429000,-5891000,4133000,None,4133000,None,1002000,1002000,None,173522000,987000,None,6913000,-5283000,-3231000,None,-8135000,-2052000,-5891000,1022000,-2052000,REX
2019-07-31,USD,4004000,105868000,101864000,101864000,-760000,4764000,None,4764000,None,1252000,1252000,None,212175000,1491000,None,7792000,4878000,2622000,None,3353000,2256000,-760000,7032000,2256000,REX
2019-04-30,USD,3646000,104575000,100929000,100929000,-1086000,4732000,None,4732000,None,1127000,126000,None,209397000,126000,None,7625000,6369000,3548000,None,3715000,2821000,-1086000,6539000,2821000,REX
2019-01-31,USD,2218000,113344000,111126000,111126000,2218000,4476000,None,29408000,None,None,None,None,-746148000,2088000,None,6155000,-40213000,-41270000,None,2218000,2899000,2218000,3897000,1057000,REX
2018-10-31,USD,7747000,123750000,116003000,116003000,2335000,5412000,None,5412000,None,None,None,None,247296000,611000,None,6640000,21889000,10014000,None,13769000,11875000,2335000,8975000,11875000,REX
2018-07-31,USD,9399000,128757000,119358000,119358000,3289000,6110000,None,6110000,None,None,None,None,257248000,874000,None,6113000,3586000,-5631000,None,10490000,9217000,3289000,9402000,9217000,REX
2018-04-30,USD,10851000,120820000,109969000,109969000,6298000,4553000,None,4553000,None,None,None,None,241500000,1351000,None,5920000,6793000,-2703000,None,10352000,9496000,6298000,12218000,9496000,REX
2018-01-31,USD,6024000,109535000,103511000,103511000,6024000,6532000,None,28099000,None,None,None,None,-105000,2167000,None,5767000,577000,-18476000,None,6024000,20135000,6024000,5364000,19053000,REX
2017-10-31,USD,14867000,121164000,106297000,106297000,7520000,7347000,None,7447000,None,None,None,None,-100000,1739000,None,5740000,7433000,-5735000,None,14994000,13168000,7520000,13360000,13168000,REX
2017-07-31,USD,10781000,108744000,97963000,97963000,6002000,4779000,None,4766000,None,None,None,None,13000,471000,None,5021000,5243000,2302000,None,4171000,2941000,6002000,11023000,2941000,REX
2017-04-30,USD,12489000,113143000,100654000,100654000,7087000,5402000,None,5402000,None,None,None,None,226286000,915000,None,4934000,6934000,2390000,None,5612000,4544000,7087000,12021000,4544000,REX
2017-01-31,USD,25171000,119483000,103489000,96416000,25171000,7073000,None,7437000,None,None,None,None,-1776000,3265000,None,4952000,18003000,5622000,None,8364000,15549000,25171000,23086000,12381000,REX
2016-10-31,USD,20162000,116577000,101203000,96121000,15080000,5082000,None,4903000,None,None,None,None,294000,2134000,None,4819000,14678000,5740000,None,11474000,8938000,15080000,19720000,8938000,REX
2016-07-31,USD,17284000,117028000,103629000,98423000,12078000,5206000,None,5021000,None,None,None,None,1321000,1468000,None,4936000,12693000,4517000,None,9029000,8176000,12078000,16829000,8176000,REX
2016-04-30,USD,8422000,100710000,95827000,91800000,4395000,4027000,None,4027000,None,None,None,None,488000,393000,None,4812000,4352000,1514000,None,3466000,2838000,4395000,9015000,2838000,REX
2016-01-31,USD,9158000,107227000,-124897622000,98069000,9158000,4184000,None,-124995195000,None,None,None,None,7000,12321000,None,4446000,5068000,1382000,None,3686000,4827000,9158000,9413000,3686000,REX
2015-10-31,USD,14273000,110585000,101031000,96311000,9553000,4720000,None,4719000,None,None,None,None,1000,1514000,None,4763000,9090000,1634000,None,7456000,7456000,9553000,15829000,7456000,REX
2015-07-31,USD,18276000,113492000,101660000,95204000,11820000,6456000,None,6444000,None,None,None,None,12000,5182000,None,4474000,25043000,8676000,None,16367000,16367000,11820000,21464000,16367000,REX
2015-04-30,USD,9127000,105680000,125091617000,96070000,-124986420000,4453000,None,124995064000,None,None,None,None,483000,1480000,None,4956000,6343000,2416000,None,3927000,4951000,-124986420000,11328000,3927000,REX
2015-01-31,USD,29974000,127651000,101815000,97679000,29974000,4053000,None,4189000,None,-337000,None,337000,341000,8033000,None,4307000,29944000,9596000,337000,19921000,24207000,30281000,38243000,20348000,REX
2014-10-31,USD,36491000,138004000,106310000,101934000,32144000,4350000,None,4353000,None,-454000,None,454000,4000,8887000,None,4130000,35464000,12124000,454000,23200000,23340000,35918000,45157000,23340000,REX
2014-07-31,USD,38838000,149639000,116252000,111391000,33979000,4839000,None,4839000,None,-591000,None,591000,-1000,7332000,None,4163000,35924000,14017000,591000,21914000,21907000,36515000,45475000,21907000,REX
2014-04-30,USD,36636000,163537000,125625000,119289000,38608000,-6171000,None,-1362000,None,-692000,-1384000,-692000,8293000,8345000,None,4187000,7822000,-13920000,692000,21739000,21742000,7130000,42915000,21742000,REX
2014-01-31,USD,26344000,146090000,141803000,119680000,26279000,5316000,None,23333000,None,-851000,8000,859000,456000,16677000,None,4106000,25591000,9717000,851000,16096000,15874000,26450000,32761000,15874000,REX
2013-10-31,USD,18025000,165514000,152916000,148160000,13589000,4589000,None,5580000,None,-968000,-4000,964000,-23000,3377000,None,4367000,15128000,5261000,968000,8980000,9867000,16092000,21356000,9867000,REX
2013-07-31,USD,10897000,174678000,168906000,164511000,6811000,4194000,None,5233000,None,-1029000,None,1029000,-10000,4663000,None,4420000,9519000,3694000,1029000,5704000,5825000,10548000,15904000,5825000,REX
2013-04-30,USD,9022000,177692000,173396000,169432000,5351000,3747000,None,4801000,25000,-1059000,-6000,1053000,4000,17000,None,4391000,5573000,2066000,1059000,3205000,3507000,6626000,11383000,3507000,REX
2013-01-31,USD,-2558000,174639000,197363000,176078000,-2569000,3349000,None,21318000,34000,-1137000,-11000,1126000,1566000,8224000,None,4172000,-7247000,-2804000,1137000,-4521000,-4443000,-6121000,-2967000,-4443000,REX
2012-10-31,USD,3691000,177604000,178298000,175108000,652000,3002000,None,4341000,42000,-1206000,-9000,1197000,-140000,1444000,None,4189000,579000,170000,1206000,325000,409000,1776000,6285000,409000,REX
2012-07-31,USD,7006000,151912000,149954000,146206000,3210000,3573000,None,4836000,41000,-1173000,None,1173000,-79000,-519000,None,4220000,1344000,538000,1173000,672000,806000,2517000,6990000,806000,REX
2012-04-30,USD,5463000,149585000,148224000,145481000,2789000,2710000,None,4135000,49000,-1281000,-5000,1276000,-147000,2000,None,4021000,1474000,541000,1281000,772000,933000,2750000,7301000,933000,REX
2012-01-31,USD,20469000,170465000,154951000,148088000,20469000,3760000,None,6532000,55000,-1561000,-51000,1510000,42000,None,None,3880000,22811000,8022000,1561000,14929000,14789000,24321000,26385000,14789000,REX
2011-10-31,USD,9002000,83403000,77894000,75506000,6630000,2344000,None,3455000,92000,-620000,None,620000,-501000,92000,None,2687000,10537000,4055000,620000,6029000,6482000,11157000,15693000,6482000,REX
2011-07-31,USD,-214000,75331000,76113000,74015000,-2262000,1974000,None,496000,101000,-646000,None,638000,2126000,101000,None,2786000,3846000,1499000,646000,1972000,2347000,4484000,4386000,2347000,REX
2011-04-30,USD,4745000,81214000,76534000,76451000,1831000,2348000,None,2349000,None,None,None,663000,None,None,None,2733000,7333000,2681000,None,4137000,None,7996000,11085000,4652000,REX
2011-01-31,USD,13076000,94936000,84784000,15943000,4937000,3005000,None,3796000,None,None,None,-1174000,None,None,None,5107000,2038000,6641000,None,10447000,None,864000,18435000,-4603000,REX
2010-10-31,USD,6980000,70343000,63538000,63276000,8163000,1815000,None,1929000,None,None,None,1367000,None,None,None,5190000,6841000,2591000,None,3676000,None,8208000,8691000,4250000,REX
2010-07-31,USD,5034000,65130000,60470000,60053000,3055000,1859000,None,1858000,None,None,None,1338000,None,None,None,3917000,1856000,622000,None,684000,None,3194000,7926000,1234000,REX
